,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,Date
34,Ukraine,Engineering Vehicles And Equipment,57,6,26,11,100,12/1/2023
35,Ukraine,Self-Propelled Anti-Tank Missile Systems,8,1,12,0,21,12/1/2023
36,Ukraine,Artillery Support Vehicles And Equipment,10,0,13,0,23,12/1/2023
37,Ukraine,Towed Artillery,96,2,18,57,173,12/1/2023
38,Ukraine,Self-Propelled Artillery,176,0,23,53,252,12/1/2023
39,Ukraine,Multiple Rocket Launchers,33,0,8,9,50,12/1/2023
40,Ukraine,Anti-Aircraft Guns,0,0,4,0,4,12/1/2023
41,Ukraine,Self-Propelled Anti-Aircraft Guns,2,1,3,1,7,12/1/2023
42,Ukraine,"Surface-To-Air Missile Systems
",107,1,6,15,129,12/1/2023
43,Ukraine,Radars And Communications Equipment,64,1,11,10,86,12/1/2023
44,Ukraine,Jammers And Deception Systems,3,0,1,0,4,12/1/2023
45,Ukraine,Aircraft,76,0,1,1,78,12/1/2023
46,Ukraine,Helicopters,32,0,3,1,36,12/1/2023
47,Ukraine,Unmanned Combat Aerial Vehicles,26,0,0,0,26,12/1/2023
48,Ukraine,Reconnaissance Unmanned Aerial Vehicles,130,0,75,1,206,12/1/2023
49,Ukraine,Naval Ships,9,0,17,1,27,12/1/2023
50,Ukraine,"Trucks, Vehicles, and Jeeps",552,12,183,17,764,12/1/2023
