,Countries,Announcement.Date,Type.of.Aid.General,Total,Converted.Value.in.EUR,Total_in_USD,Date,Week,Month,Total_by_Country,Cumulative
73,Netherlands,4/19/2022,Military,"101,629,378","91,905,750",97420095,4/19/2022,4/17/2022,4/1/2022,2630114114,150420095
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,4/1/2022,3913090222,317605795.6
78,Poland,4/29/2022,Military,"1,800,000,000","1,800,000,000",1.91E+09,4/29/2022,4/24/2022,4/1/2022,3180000000,1.91E+09
84,United Kingdom,4/9/2022,Military,"63,531,834","57,453,278",60900474.68,4/9/2022,4/3/2022,4/1/2022,6972845556,946052290.7
86,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,4/1/2022,44626786038,16173195877
87,European Peace Facility,4/8/2022,Military,"500,000,000","500,000,000",5.30E+08,4/8/2022,4/3/2022,4/1/2022,5.94E+09,1.59E+09
23,Sweden,2/27/2022,Military,"500,000,000","42,976,372",45554954.32,2/27/2022,2/27/2022,4/1/2022,1562735364,81998917.14
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,4/1/2022,18112538000,0
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,5/1/2022,3711366081,142266602.6
98,United Kingdom,5/20/2022,Military,"1,300,000,000","1,514,163,250",1605013045,5/20/2022,5/15/2022,5/1/2022,6972845556,2551157360
99,European Peace Facility,5/13/2022,Military,"500,000,000","500,000,000",5.30E+08,5/13/2022,5/8/2022,5/1/2022,5.94E+09,2.12E+09
73,Netherlands,4/19/2022,Military,"101,629,378","91,905,750",97420095,4/19/2022,4/17/2022,5/1/2022,2630114114,150420095
23,Sweden,2/27/2022,Military,"500,000,000","42,976,372",45554954.32,2/27/2022,2/27/2022,5/1/2022,1562735364,81998917.14
78,Poland,4/29/2022,Military,"1,800,000,000","1,800,000,000",1.91E+09,4/29/2022,4/24/2022,5/1/2022,3180000000,1.91E+09
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,5/1/2022,18112538000,0
86,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,5/1/2022,44626786038,16173195877
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,5/1/2022,1759044024,675099192.9
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,5/1/2022,3913090222,317605795.6
103,Netherlands,6/28/2022,Military,"41,336,722","37,381,734",39624638.04,6/28/2022,6/26/2022,6/1/2022,2630114114,190044733
112,Sweden,6/2/2022,Military,"60,000,000","5,157,165",5466594.9,6/2/2022,5/29/2022,6/1/2022,1562735364,163997835.3
113,United Kingdom,6/30/2022,Military,"1,000,000,000","1,164,740,962",1234625420,6/30/2022,6/26/2022,6/1/2022,6972845556,3785782780
78,Poland,4/29/2022,Military,"1,800,000,000","1,800,000,000",1.91E+09,4/29/2022,4/24/2022,6/1/2022,3180000000,1.91E+09
99,European Peace Facility,5/13/2022,Military,"500,000,000","500,000,000",5.30E+08,5/13/2022,5/8/2022,6/1/2022,5.94E+09,2.12E+09
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,6/1/2022,3711366081,142266602.6
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,6/1/2022,18112538000,0
86,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,6/1/2022,44626786038,16173195877
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,6/1/2022,1759044024,675099192.9
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,6/1/2022,3913090222,317605795.6
121,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,7/1/2022,3180000000,1939808921
123,Sweden,7/12/2022,Military,"577,700,000","49,654,900",52634194,7/12/2022,7/10/2022,7/1/2022,1562735364,216632029.3
124,European Peace Facility,7/22/2022,Military,"500,000,000","500,000,000",5.30E+08,7/22/2022,7/17/2022,7/1/2022,5.94E+09,2.65E+09
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,7/1/2022,3711366081,142266602.6
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,7/1/2022,18112538000,0
103,Netherlands,6/28/2022,Military,"41,336,722","37,381,734",39624638.04,6/28/2022,6/26/2022,7/1/2022,2630114114,190044733
86,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,7/1/2022,44626786038,16173195877
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,7/1/2022,1759044024,675099192.9
113,United Kingdom,6/30/2022,Military,"1,000,000,000","1,164,740,962",1234625420,6/30/2022,6/26/2022,7/1/2022,6972845556,3785782780
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,7/1/2022,3913090222,317605795.6
126,Denmark,8/11/2022,Military,"820,000,000","110,055,296",116658613.8,8/11/2022,8/7/2022,8/1/2022,3711366081,401191819
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,8/1/2022,18112538000,27878000
133,Netherlands,8/28/2022,Military,"10,000,000","10,000,000",10600000,8/28/2022,8/28/2022,8/1/2022,2630114114,200644733
136,Sweden,8/28/2022,Military,"500,000,000","42,976,372",45554954.32,8/28/2022,8/28/2022,8/1/2022,1562735364,262186983.7
86,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,8/1/2022,44626786038,16173195877
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,8/1/2022,1759044024,675099192.9
113,United Kingdom,6/30/2022,Military,"1,000,000,000","1,164,740,962",1234625420,6/30/2022,6/26/2022,8/1/2022,6972845556,3785782780
124,European Peace Facility,7/22/2022,Military,"500,000,000","500,000,000",5.30E+08,7/22/2022,7/17/2022,8/1/2022,5.94E+09,2.65E+09
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,8/1/2022,3913090222,317605795.6
121,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,8/1/2022,3180000000,1939808921
140,Denmark,9/1/2022,Military,"974,000,000","130,724,218",138567671.1,9/1/2022,8/28/2022,9/1/2022,3711366081,539759490.1
144,Netherlands,9/8/2022,Military,"344,452,246","344,452,246",365119380.8,9/8/2022,9/4/2022,9/1/2022,3711366081,539759490.1
147,United States,9/30/2022,Military,"3,000,000,000","2,712,967,987",2875746066,9/30/2022,9/25/2022,9/1/2022,44626786038,22595695425
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,9/1/2022,1759044024,675099192.9
113,United Kingdom,6/30/2022,Military,"1,000,000,000","1,164,740,962",1234625420,6/30/2022,6/26/2022,9/1/2022,6972845556,3785782780
124,European Peace Facility,7/22/2022,Military,"500,000,000","500,000,000",5.30E+08,7/22/2022,7/17/2022,9/1/2022,5.94E+09,2.65E+09
136,Sweden,8/28/2022,Military,"500,000,000","42,976,372",45554954.32,8/28/2022,8/28/2022,9/1/2022,1562735364,262186983.7
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,9/1/2022,3913090222,317605795.6
121,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,9/1/2022,3180000000,1939808921
163,United Kingdom,10/13/2022,Military,"10,000,000","11,647,410",12346254.6,10/13/2022,10/9/2022,10/1/2022,6972845556,4040576333
164,European Peace Facility,10/17/2022,Military,"600,000,000","600,000,000",6.36E+08,10/17/2022,10/16/2022,10/1/2022,5.94E+09,3.29E+09
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,10/1/2022,1759044024,675099192.9
144,Netherlands,9/8/2022,Military,"344,452,246","344,452,246",365119380.8,9/8/2022,9/4/2022,10/1/2022,3711366081,539759490.1
136,Sweden,8/28/2022,Military,"500,000,000","42,976,372",45554954.32,8/28/2022,8/28/2022,10/1/2022,1562735364,262186983.7
140,Denmark,9/1/2022,Military,"974,000,000","130,724,218",138567671.1,9/1/2022,8/28/2022,10/1/2022,3711366081,539759490.1
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,10/1/2022,3913090222,317605795.6
121,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,10/1/2022,3180000000,1939808921
147,United States,9/30/2022,Military,"3,000,000,000","2,712,967,987",2875746066,9/30/2022,9/25/2022,10/1/2022,44626786038,22595695425
167,Canada,11/16/2022,Military,"34,000,000","23,258,996",24654535.76,11/16/2022,11/13/2022,11/1/2022,1759044024,1096401696
175,Netherlands,11/14/2022,Military,"25,000,000","25,000,000",26500000,11/14/2022,11/13/2022,11/1/2022,2630114114,825464113.8
178,Sweden,11/16/2022,Military,"3,000,000,000","257,858,230",273329723.8,11/16/2022,11/13/2022,11/1/2022,1562735364,535516707.5
180,United Kingdom,11/23/2022,Military,"32,234,578","29,150,459",30899486.54,11/23/2022,11/20/2022,11/1/2022,6972845556,4133207091
140,Denmark,9/1/2022,Military,"974,000,000","130,724,218",138567671.1,9/1/2022,8/28/2022,11/1/2022,3711366081,539759490.1
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,11/1/2022,3913090222,317605795.6
121,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,11/1/2022,3180000000,1939808921
147,United States,9/30/2022,Military,"3,000,000,000","2,712,967,987",2875746066,9/30/2022,9/25/2022,11/1/2022,44626786038,22595695425
164,European Peace Facility,10/17/2022,Military,"600,000,000","600,000,000",6.36E+08,10/17/2022,10/16/2022,11/1/2022,5.94E+09,3.29E+09
185,Denmark,12/21/2022,Military,"10,000,000","10,000,000",10600000,12/21/2022,12/18/2022,12/1/2022,3711366081,595727490.1
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,9/1/2022,18112538000,27878000
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,10/1/2022,18112538000,27878000
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,11/1/2022,18112538000,27878000
190,Germany,12/21/2022,Military,"36,000,000","36,000,000",38160000,12/21/2022,12/18/2022,12/1/2022,18112538000,119038000
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,12/1/2022,2630114114,2630114114
196,Norway,12/14/2022,Military,"990,000,000","87,244,655",92479334.3,12/14/2022,12/11/2022,12/1/2022,3913090222,410085129.9
197,Poland,12/13/2022,Military,"460,122,786","416,099,463",441065430.8,12/13/2022,12/11/2022,12/1/2022,3180000000,2380874352
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,12/1/2022,44626786038,44626786038
167,Canada,11/16/2022,Military,"34,000,000","23,258,996",24654535.76,11/16/2022,11/13/2022,12/1/2022,1759044024,1096401696
178,Sweden,11/16/2022,Military,"3,000,000,000","257,858,230",273329723.8,11/16/2022,11/13/2022,12/1/2022,1562735364,535516707.5
180,United Kingdom,11/23/2022,Military,"32,234,578","29,150,459",30899486.54,11/23/2022,11/20/2022,12/1/2022,6972845556,4133207091
164,European Peace Facility,10/17/2022,Military,"600,000,000","600,000,000",6.36E+08,10/17/2022,10/16/2022,12/1/2022,5.94E+09,3.29E+09
204,Canada,1/27/2023,Military,"8,552,294","7,734,033",8198074.98,1/27/2023,1/22/2023,1/1/2023,1759044024,1171312044
212,Poland,1/27/2023,Military,"177,964,925","160,937,715",170593977.9,1/27/2023,1/22/2023,1/1/2023,3180000000,2551468330
215,Sweden,1/19/2023,Military,"4,300,000,000","369,596,796",391772603.8,1/19/2023,1/15/2023,1/1/2023,1562735364,927289311.3
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,1/1/2023,6972845556,6972845556
217,European Peace Facility,1/23/2023,Military,"500,000,000","500,000,000",5.30E+08,1/23/2023,1/22/2023,1/1/2023,5.94E+09,3.82E+09
196,Norway,12/14/2022,Military,"990,000,000","87,244,655",92479334.3,12/14/2022,12/11/2022,1/1/2023,3913090222,410085129.9
185,Denmark,12/21/2022,Military,"10,000,000","10,000,000",10600000,12/21/2022,12/18/2022,1/1/2023,3711366081,595727490.1
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,1/1/2023,2630114114,2630114114
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,1/1/2023,44626786038,44626786038
220,Canada,2/24/2023,Military,"32,000,000","21,890,820",23204269.2,2/24/2023,2/19/2023,2/1/2023,1759044024,1226055840
228,Germany,2/24/2023,Military,"70,000,000","70,000,000",74200000,2/24/2023,2/19/2023,2/1/2023,18112538000,4475638000
237,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,2/1/2023,3913090222,3913090222
212,Poland,1/27/2023,Military,"177,964,925","160,937,715",170593977.9,1/27/2023,1/22/2023,2/1/2023,3180000000,2551468330
217,European Peace Facility,1/23/2023,Military,"500,000,000","500,000,000",5.30E+08,1/23/2023,1/22/2023,2/1/2023,5.94E+09,3.82E+09
185,Denmark,12/21/2022,Military,"10,000,000","10,000,000",10600000,12/21/2022,12/18/2022,2/1/2023,3711366081,595727490.1
215,Sweden,1/19/2023,Military,"4,300,000,000","369,596,796",391772603.8,1/19/2023,1/15/2023,2/1/2023,1562735364,927289311.3
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,2/1/2023,2630114114,2630114114
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,2/1/2023,6972845556,6972845556
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,2/1/2023,44626786038,44626786038
242,Canada,3/15/2023,Military,"47,108,669","42,601,437",45157523.22,3/15/2023,3/12/2023,3/1/2023,1759044024,1271213363
251,Poland,3/16/2023,Military,"168,000,000","151,926,207",161041779.4,3/16/2023,3/12/2023,3/1/2023,3180000000,2712510109
217,European Peace Facility,1/23/2023,Military,"500,000,000","500,000,000",5.30E+08,1/23/2023,1/22/2023,3/1/2023,5.94E+09,3.82E+09
185,Denmark,12/21/2022,Military,"10,000,000","10,000,000",10600000,12/21/2022,12/18/2022,3/1/2023,3711366081,595727490.1
215,Sweden,1/19/2023,Military,"4,300,000,000","369,596,796",391772603.8,1/19/2023,1/15/2023,3/1/2023,1562735364,927289311.3
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,3/1/2023,2630114114,2630114114
237,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,3/1/2023,3913090222,3913090222
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,3/1/2023,6972845556,6972845556
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,3/1/2023,44626786038,44626786038
256,Canada,4/21/2023,Military,"4,500,000","3,078,396",3263099.76,4/21/2023,4/16/2023,4/1/2023,1759044024,1342348950
260,Germany,4/24/2023,Military,"2,320,000,000","2,320,000,000",2459200000,4/24/2023,4/23/2023,4/1/2023,18112538000,6934838000
217,European Peace Facility,1/23/2023,Military,"500,000,000","500,000,000",5.30E+08,1/23/2023,1/22/2023,4/1/2023,5.94E+09,3.82E+09
266,European Peace Facility,4/13/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,4/13/2023,4/9/2023,4/1/2023,5.94E+09,4.88E+09
185,Denmark,12/21/2022,Military,"10,000,000","10,000,000",10600000,12/21/2022,12/18/2022,4/1/2023,3711366081,595727490.1
251,Poland,3/16/2023,Military,"168,000,000","151,926,207",161041779.4,3/16/2023,3/12/2023,4/1/2023,3180000000,2712510109
215,Sweden,1/19/2023,Military,"4,300,000,000","369,596,796",391772603.8,1/19/2023,1/15/2023,4/1/2023,1562735364,927289311.3
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,4/1/2023,2630114114,2630114114
237,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,4/1/2023,3913090222,3913090222
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,4/1/2023,6972845556,6972845556
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,4/1/2023,44626786038,44626786038
268,Canada,5/25/2023,Military,"19,551,655","17,681,005",18741865.3,5/25/2023,5/21/2023,5/1/2023,1759044024,1361090815
275,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,5/1/2023,3711366081,3711366081
280,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,18064838000
283,Poland,5/24/2023,Military,"441,028,199","441,028,199",467489890.9,5/24/2023,5/21/2023,5/1/2023,3180000000,3180000000
284,Sweden,5/5/2023,Military,"6,724,500,000","577,989,222",612668575.3,5/5/2023,4/30/2023,5/1/2023,1562735364,1539957887
266,European Peace Facility,4/13/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,4/13/2023,4/9/2023,5/1/2023,5.94E+09,5.94E+09
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,5/1/2023,2630114114,2630114114
237,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,5/1/2023,3913090222,3913090222
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,5/1/2023,6972845556,6972845556
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,5/1/2023,44626786038,44626786038
288,Canada,6/10/2023,Military,"500,000,000","342,044,055",362566698.3,6/10/2023,6/4/2023,6/1/2023,1759044024,1723657514
303,Sweden,6/22/2023,Military,"20,000,000","1,719,055",1822198.3,6/22/2023,6/18/2023,6/1/2023,1562735364,1562735364
275,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,6/1/2023,3711366081,3711366081
266,European Peace Facility,4/13/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,4/13/2023,4/9/2023,6/1/2023,5.94E+09,5.94E+09
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,6/1/2023,2630114114,2630114114
237,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,6/1/2023,3913090222,3913090222
283,Poland,5/24/2023,Military,"441,028,199","441,028,199",467489890.9,5/24/2023,5/21/2023,6/1/2023,3180000000,3180000000
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,6/1/2023,6972845556,6972845556
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,6/1/2023,44626786038,44626786038
305,Canada,7/13/2023,Military,"48,800,000","33,383,500",35386510,7/13/2023,7/9/2023,7/1/2023,1759044024,1759044024
275,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,7/1/2023,3711366081,3711366081
266,European Peace Facility,4/13/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,4/13/2023,4/9/2023,7/1/2023,5.94E+09,5.94E+09
195,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,7/1/2023,2630114114,2630114114
237,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,7/1/2023,3913090222,3913090222
283,Poland,5/24/2023,Military,"441,028,199","441,028,199",467489890.9,5/24/2023,5/21/2023,7/1/2023,3180000000,3180000000
303,Sweden,6/22/2023,Military,"20,000,000","1,719,055",1822198.3,6/22/2023,6/18/2023,7/1/2023,1562735364,1562735364
216,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,7/1/2023,6972845556,6972845556
201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,7/1/2023,44626786038,44626786038
280,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,6/1/2023,18112538000,18064838000
280,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,7/1/2023,18112538000,18064838000
,,,,,,,,,8/1/2023,,
,,,,,,,,,9/1/2023,,
